CMDLINE C:\Users\Joe\AppData\Local\Programs\Python\Python36-32\python.exe lab5.py
MEM 0.945312 1508479106.3127
MEM 11.199219 1508479106.4135
MEM 15.519531 1508479106.5143
MEM 28.433594 1508479106.6152
MEM 35.824219 1508479106.7161
MEM 42.007812 1508479106.8170
MEM 47.093750 1508479106.9174
MEM 49.175781 1508479107.0183
MEM 52.273438 1508479107.1187
MEM 52.480469 1508479107.2191
MEM 52.480469 1508479107.3200
MEM 52.480469 1508479107.4200
MEM 52.480469 1508479107.5205
MEM 52.480469 1508479107.6211
MEM 52.480469 1508479107.7218
MEM 52.480469 1508479107.8220
MEM 52.480469 1508479107.9221
MEM 52.480469 1508479108.0224
MEM 52.480469 1508479108.1231
MEM 52.480469 1508479108.2232
MEM 52.480469 1508479108.3237
MEM 52.480469 1508479108.4237
MEM 52.480469 1508479108.5247
MEM 52.480469 1508479108.6252
MEM 52.480469 1508479108.7258
MEM 52.480469 1508479108.8267
MEM 52.480469 1508479108.9277
MEM 52.480469 1508479109.0287
MEM 52.480469 1508479109.1296
MEM 52.480469 1508479109.2297
MEM 52.480469 1508479109.3298
MEM 52.480469 1508479109.4306
MEM 52.480469 1508479109.5314
MEM 52.480469 1508479109.6323
MEM 52.480469 1508479109.7324
MEM 52.480469 1508479109.8324
MEM 52.480469 1508479109.9328
MEM 52.480469 1508479110.0334
MEM 52.480469 1508479110.1340
MEM 52.480469 1508479110.2343
MEM 52.480469 1508479110.3344
MEM 52.480469 1508479110.4352
MEM 52.480469 1508479110.5356
MEM 52.480469 1508479110.6365
MEM 52.480469 1508479110.7373
MEM 52.480469 1508479110.8379
MEM 52.480469 1508479110.9382
MEM 52.480469 1508479111.0387
MEM 52.480469 1508479111.1395
MEM 52.480469 1508479111.2396
MEM 52.480469 1508479111.3405
MEM 52.480469 1508479111.4415
MEM 52.480469 1508479111.5416
MEM 52.480469 1508479111.6416
MEM 52.480469 1508479111.7423
MEM 52.480469 1508479111.8429
MEM 52.480469 1508479111.9431
MEM 52.480469 1508479112.0432
MEM 52.480469 1508479112.1433
MEM 52.480469 1508479112.2440
MEM 52.480469 1508479112.3448
MEM 52.480469 1508479112.4449
MEM 52.480469 1508479112.5453
MEM 52.480469 1508479112.6453
MEM 52.480469 1508479112.7460
MEM 52.480469 1508479112.8460
MEM 52.480469 1508479112.9460
MEM 52.480469 1508479113.0463
MEM 52.480469 1508479113.1468
MEM 52.480469 1508479113.2470
MEM 52.480469 1508479113.3475
MEM 52.480469 1508479113.4481
MEM 52.480469 1508479113.5482
MEM 52.480469 1508479113.6486
MEM 52.480469 1508479113.7486
MEM 52.480469 1508479113.8488
MEM 52.480469 1508479113.9489
MEM 52.480469 1508479114.0490
MEM 52.480469 1508479114.1490
MEM 52.480469 1508479114.2490
MEM 52.480469 1508479114.3496
MEM 52.480469 1508479114.4500
MEM 52.480469 1508479114.5509
MEM 52.480469 1508479114.6517
MEM 52.480469 1508479114.7527
MEM 52.480469 1508479114.8536
MEM 52.480469 1508479114.9536
MEM 52.480469 1508479115.0536
MEM 52.480469 1508479115.1540
MEM 52.480469 1508479115.2550
MEM 52.480469 1508479115.3556
MEM 52.480469 1508479115.4561
MEM 52.480469 1508479115.5566
MEM 52.480469 1508479115.6567
MEM 52.480469 1508479115.7570
MEM 52.480469 1508479115.8576
MEM 52.480469 1508479115.9577
MEM 52.480469 1508479116.0582
MEM 52.480469 1508479116.1589
MEM 52.480469 1508479116.2594
MEM 52.480469 1508479116.3595
MEM 52.480469 1508479116.4600
MEM 52.480469 1508479116.5609
MEM 52.480469 1508479116.6610
MEM 52.480469 1508479116.7620
MEM 52.480469 1508479116.8626
MEM 52.480469 1508479116.9628
MEM 52.480469 1508479117.0628
MEM 52.480469 1508479117.1633
MEM 52.664062 1508479117.2651
MEM 52.664062 1508479117.3651
MEM 52.664062 1508479117.4654
MEM 52.664062 1508479117.5664
MEM 52.664062 1508479117.6674
MEM 52.664062 1508479117.7674
MEM 52.664062 1508479117.8684
MEM 52.664062 1508479117.9684
MEM 52.664062 1508479118.0694
MEM 52.664062 1508479118.1694
MEM 52.664062 1508479118.2704
MEM 52.664062 1508479118.3704
MEM 52.664062 1508479118.4705
MEM 52.664062 1508479118.5715
MEM 52.664062 1508479118.6725
MEM 52.664062 1508479118.7731
MEM 52.664062 1508479118.8747
MEM 52.664062 1508479118.9751
MEM 52.664062 1508479119.0755
MEM 52.664062 1508479119.1764
MEM 52.664062 1508479119.2771
MEM 52.664062 1508479119.3781
MEM 52.664062 1508479119.4782
MEM 52.664062 1508479119.5787
MEM 52.664062 1508479119.6788
MEM 52.664062 1508479119.7790
MEM 52.664062 1508479119.8797
MEM 52.664062 1508479119.9802
MEM 52.664062 1508479120.0802
MEM 52.664062 1508479120.1812
MEM 52.664062 1508479120.2812
MEM 52.664062 1508479120.3812
MEM 52.664062 1508479120.4822
MEM 52.664062 1508479120.5832
MEM 52.664062 1508479120.6832
MEM 52.664062 1508479120.7832
MEM 52.664062 1508479120.8832
MEM 52.664062 1508479120.9842
MEM 52.664062 1508479121.0851
MEM 52.664062 1508479121.1851
MEM 52.664062 1508479121.2861
MEM 52.664062 1508479121.3866
MEM 52.664062 1508479121.4874
MEM 52.664062 1508479121.5874
MEM 52.664062 1508479121.6880
MEM 52.664062 1508479121.7885
MEM 52.664062 1508479121.8885
MEM 52.664062 1508479121.9895
MEM 52.664062 1508479122.0895
MEM 52.664062 1508479122.1895
MEM 52.664062 1508479122.2903
MEM 53.234375 1508479122.3907
MEM 53.945312 1508479122.4911
MEM 53.937500 1508479122.5921
MEM 55.050781 1508479122.6925
MEM 55.093750 1508479122.7928
MEM 55.093750 1508479122.8932
MEM 55.093750 1508479122.9932
MEM 55.093750 1508479123.0933
MEM 55.093750 1508479123.1934
MEM 55.093750 1508479123.2940
MEM 55.093750 1508479123.3942
MEM 55.093750 1508479123.4951
MEM 55.093750 1508479123.5960
MEM 55.093750 1508479123.6960
MEM 55.093750 1508479123.7965
MEM 55.093750 1508479123.8972
MEM 55.093750 1508479123.9973
MEM 55.093750 1508479124.0981
MEM 55.093750 1508479124.1987
MEM 55.093750 1508479124.2987
MEM 55.093750 1508479124.3988
MEM 55.093750 1508479124.4988
MEM 55.093750 1508479124.5989
MEM 54.777344 1508479124.6995
